TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
SIKA.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
INDU-C.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RWE.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
REC.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ACA.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
IAG.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
AMP.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RTO.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
TIT.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MC.PA,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
NOVN.SW,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SY1.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
UNA.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SWED-A.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
PHIA.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
FBK.MI,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BOL.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
GAW.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MKS.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
SRT3.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
CCEP.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
MRL.MC,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EDV.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
ASM.AS,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
BNR.DE,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
DCC.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
HWDN.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
EVO.ST,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RR.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
RMV.L,2025-09-10,false,,,,,,2025-09-10 09:52:59.907
